Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
1;Jones El-Abdellaoui;ma MAR;FW,MF;Celta Vigo;19-364;2006;10;0;222;2.5;2;0;2;2;0;0;0;0;2.2;2.2;0.1;2.3;18;0;35;0.81;0.00;0.81;0.81;0.81;0.91;0.03;0.94;0.91;0.94;Matches
2;Abdel Abqar;ma MAR;DF;Getafe;26-307;1999;10;8;690;7.7;0;1;1;0;0;0;5;0;0.2;0.2;0.4;0.6;3;11;1;0.00;0.13;0.13;0.00;0.13;0.03;0.05;0.08;0.03;0.08;Matches
3;Akor Adams;ng NGA;FW;Sevilla;25-347;2000;14;8;852;9.5;3;2;5;3;0;0;1;0;3.9;3.9;0.8;4.7;17;8;41;0.32;0.21;0.53;0.32;0.53;0.41;0.08;0.50;0.41;0.50;Matches
4;David Affengruber;at AUT;DF;Elche;24-298;2001;18;16;1,47;16.3;0;0;0;0;0;0;4;1;0.4;0.4;0.3;0.7;16;58;5;0.00;0.00;0.00;0.00;0.00;0.03;0.02;0.04;0.03;0.04;Matches
5;Julen Agirrezabala;es ESP;GK;Valencia;25-016;2000;18;18;1,62;18.0;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
6;Lucien Agoume;fr FRA;MF;Sevilla;23-336;2002;15;13;1,135;12.6;1;2;3;1;0;0;8;0;0.5;0.5;1.8;2.3;18;76;22;0.08;0.16;0.24;0.08;0.24;0.04;0.14;0.18;0.04;0.18;Matches
7;Marc Aguado;es ESP;MF;Elche;25-323;2000;18;15;1,237;13.7;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.1;4;49;12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
8;Pablo Agudín;es ESP;MF,FW;Oviedo;18-064;2007;4;0;70;0.8;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;1;7;0.00;0.00;0.00;0.00;0.00;0.05;0.00;0.05;0.05;0.05;Matches
9;Lucas Ahijado;es ESP;DF;Oviedo;30-346;1995;9;7;686;7.6;0;1;1;0;0;0;2;0;0.8;0.8;0.5;1.4;9;25;20;0.00;0.13;0.13;0.00;0.13;0.11;0.07;0.18;0.11;0.18;Matches
10;Joseph Aidoo;gh GHA;DF;Celta Vigo;30-104;1995;3;2;198;2.2;0;0;0;0;0;0;0;0;0.2;0.2;0.0;0.2;0;3;0;0.00;0.00;0.00;0.00;0.00;0.11;0.00;0.11;0.11;0.11;Matches
11;Ilias Akhomach;ma MAR;MF,FW;Villarreal;21-270;2004;9;2;188;2.1;0;0;0;0;0;0;0;0;0.6;0.6;0.7;1.3;9;7;20;0.00;0.00;0.00;0.00;0.00;0.30;0.32;0.62;0.30;0.62;Matches
12;David Alaba;at AUT;DF;Real Madrid;33-201;1992;3;1;57;0.6;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1;2;0;0.00;0.00;0.00;0.00;0.00;0.05;0.00;0.05;0.05;0.05;Matches
13;Alexandre Alemão;br BRA;FW;Rayo Vallecano;27-285;1998;11;6;556;6.2;1;0;1;1;0;0;1;0;1.6;1.6;0.1;1.7;0;6;27;0.16;0.00;0.16;0.16;0.16;0.26;0.02;0.28;0.26;0.28;Matches
